NOMBRE,CALLE,COLONIA,ALCALDÍA,CP,CATEGORÍA,LATITUD,LONGITUD
Hotel Calvin,José Azueta 33,Centro (Área 5),Cuauhtémoc,6050,2 Estrellas,19.43385,-99.146846
Hotel Casa Silencio,Calzada de Tlalpan 959,Niños Héroes,Benito Juárez,3440,2 Estrellas,19.385301,-99.139567
Hotel Chopo,Doctor Enrique González Martínez  7,Santa María la Ribera,Cuauhtémoc,6400,2 Estrellas,19.44079,-99.156492
Hotel Cies,Avenida Melchor Ocampo 304,Cuauhtémoc,Cuauhtémoc,6500,2 Estrellas,19.512295,-99.036629
Hotel Cima,Alfonso Ceballos 12,Moctezuma,Venustiano Carranza,15500,2 Estrellas,19.426939,-99.107978
Hotel Ciudad Real,16 de Septiembre 26,Centro de Azcapotzalco,Azcapotzalco,2000,2 Estrellas,19.478501,-99.1862
Hotel Clavería,Avenida Cuitlahuac 3101,Obrero Popular,Azcapotzalco,2840,2 Estrellas,19.464997,-99.177321
Hotel Consulado,Avenida Melchor Ocampo 23,Anáhuac,Miguel Hidalgo,11320,2 Estrellas,19.442148,-99.166953
Hotel Continental Mexicano,Callejón San Marcos 20,Centro (Área 6),Cuauhtémoc,6060,2 Estrellas,19.433128,-99.125181
Hotel Córdoba,Fray Servando Teresa de Mier 511,Merced Balbuena,Venustiano Carranza,15810,2 Estrellas,19.421895,-99.121152
Hotel Cuernavaca,Carretera federal a Cuernavaca 5201,Chimalcoyotl,Tlalpan,14630,2 Estrellas,19.275334,-99.167412
Hotel D'Casa,Carretones 140,Merced Balbuena,Venustiano Carranza,15100,2 Estrellas,19.424909,-99.12028
Hotel Del Parque,Avenida Presidente Plutarco Elías Calles 882,Barrio San Pedro,Iztacalco,8220,2 Estrellas,19.393397,-99.131698
Hotel Dharma,Eje Mosqueta 200,Buenavista,Cuauhtémoc,6350,2 Estrellas,19.444848,-99.147684
Hotel Durango,Avenida Río Consulado Circuito Interior 104,Santa María Insurgentes,Cuauhtémoc,6430,2 Estrellas,19.463547,-99.146783
Hotel Edison,Edison 106,Tabacalera,Cuauhtémoc,6030,2 Estrellas,19.437551,-99.155116
Hotel El Dorado,Orozco y Berra 131,Buenavista,Cuauhtémoc,6350,2 Estrellas,19.440509,-99.153863
Hotel El Patio,Avenida Insurgentes Norte 734,Santa María Insurgentes,Cuauhtémoc,6430,2 Estrellas,19.462771,-99.144932
Hotel Empire,Manuel Othon 14,Obrera,Cuauhtémoc,6800,2 Estrellas,19.41527,-99.143012
Hotel Ermita,Avenida Revolución 102,Tacubaya,Miguel Hidalgo,11870,2 Estrellas,19.404241,-99.184484
Hotel Esperanza,Esperanza 1155,Narvarte Poniente,Benito Juárez,3020,2 Estrellas,19.399998,-99.151893
Hotel Estadio,Chiapas 5,Roma Norte,Cuauhtémoc,6700,2 Estrellas,19.4142,-99.154791
Hotel Ex-Hacienda Xaltocan,Camino de Nativitas 491 A,Barrio Xaltocan,Xochimilco,16090,2 Estrellas,19.251736,-99.098227
Hotel Faro,Doctor Pascua 18,Doctores,Cuauhtémoc,6720,2 Estrellas,19.421968,-99.143845
Hotel Ferrol,Mina 135,Guerrero,Cuauhtémoc,6300,2 Estrellas,19.439913,-99.147712
